printer_id,name,cartridges,parts,availability,in_transit,wholesale_price,retail_price,description,char_Тип товара,char_Происхождение товара,char_Название модели,char_Артикул,char_Артикул Восточноевропейский,char_Артикул Азиатский,char_Альтернативные артикулы,"char_Ресурс, стр A4",char_Бренд,char_Цвет тонера,char_Назначение,char_Используется в принтерах,"char_Вес тонера в картридже, г",char_Страна-производитель,char_Принтеры для наименования,char_Ключевые слова,char_Вес в упаковке,char_Гарантия,char_Поставщик,char_Для использования с картриджами,char_Модель запчасти,char_Цветность,char_Категория товара,char_Совместимые картриджи,"char_Для использования с принтерами/МФУ, совместимость",char_Особенности,char_Производитель,char_Тип,char_Количество страниц,char_Цвет,char_Для использования с принтерами,char_Совместимый картридж,char_Для использования с принтерами/МФУ,char_Сайт производителя,char_Наличие чипа,char_Модель заправляемых оригинальных картриджей,char_Ресурс,char_Модель заменяемых оригинальных картриджей,char_Наименование производителя,char_Номер запчасти (Part number),char_Группа товара,char_Подгруппа товара,"char_Вес тонера с девелопером в картридже, г",char_Наименование картриджа,"char_Для использования с принтерами, совместимость",char_Масса тонера,"char_Ресурс, стр","char_Масса тонера, г","char_Вес тонер, г",char_Регион использования,char_Совместимые принтеры,char_Заводской номер запчасти,char_Совместимость,"char_Количество отпечатков, стр",char_Продукт IG,char_Технология печати,char_Влажность при эксплуатации,char_Температура хранения,char_Размеры упаковки,char_Вес,char_Тип запчасти,"char_Ресурс отпечатков, л",char_Продукт Kyocera,char_Вес картриджа
400000024048,"Картридж оригинал. Konica Minolta TN221C A8K3450/A8K3490, для цветных лазерных принтеров C227/C287, голубой (cyan), 21000стр A4",,,0,0,5660.0,5659.99,,Картридж,оригинальный,TN221C,A8K3490,A8K3450,A8K3490,"A8K3430, A8K3470",21000,Konica Minolta,голубой (cyan),для цветных лазерных принтеров,"Konica Minolta Bizhub C227, C287",467,Япония,C227/C287,Konica Minolta bizhub C227 C287 C 227 C287 Коника Минолта Минольта Бизхаб Бицхаб replenisher тонер туба флакон порошок краска картриж тонер-картридж,"722, грамм",10 месяцев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030612,"Чип тонер-картриджа  совместим. для лазерных принтеров Canon iSENSYS MF724, 718, черный (black), 3400стр A4, Булат",,,3,0,55.23,58.26,"Чип для принтеров Canon LBP7200cdn, Canon LBP7210cdn, Canon LBP7310, Canon LBP7660cdn, Canon LBP7680cx, Canon MF724cdw, Canon MF728cdw, Canon MF8330cdn, Canon MF8340cdn, Canon MF8350cdn, Canon MF8360cdn, Canon MF8380cdw, Canon MF8540cdn, Canon MF8550cdn, Canon MF8580cdw",Чип тонер-картриджа,совместимый,,,,,,3400,Булат,,,,,,,"Canon LBP7200cdn, Canon LBP7210cdn, Canon LBP7310, Canon LBP7660cdn, Canon LBP7680cx, Canon MF724cdw, Canon MF728cdw, Canon MF8330cdn, Canon MF8340cdn, Canon MF8350cdn, Canon MF8360cdn, Canon MF8380cdw, Canon MF8540cdn, Canon MF8550cdn, Canon MF8580cdw","5, грамм",Гарантия на данный товар не предоставляется,Булат,С-718K,"Canon iSENSYS MF724, 718",черный (black),Чипы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000018811,"Картридж TN-216M Magenta (пурпурный) для лазерных принтеров Konica-Minolta C220, С280, 26000стр, произв. Konica Minolta",,,0,0,4576.25,4251.45,,,,,,,,,,,,,,,,,,"754, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000007891,"Фотобарабан  совместим. для лазерных принтеров Samsung ML-6000, Alpha",,,8,0,165.6,233.11,"Фотобарабан для лазерных принтеров Samsung ML66G, 66H, 68H, 5300A, 5000A, 5050G, 5000G, 5080C, C800, 6000, SF-5800, SF-6800 и картриджей LBP 5300. Фотобарабан состоит из металлического цилиндра, на который нанесен фотослой. Фотобарабаны различаются размерами и формой шестерен, обеспечивающих его вращение. На фотобарабане лазер принтера засвечивает области, на которые магнитному валу необходимо нанести тонер. Срок службы фотобарабана зависит от используемых тонера и бумаги.",,,,,,,,,,,,,,,,,,,,,,,,LBP 5300,"Samsung ML66G, 66H, 68H, 5300A, 5000A, 5050G, 5000G, 5080C, C800, 6000, SF-5800, SF-6800",,Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030603,"Картридж для лазерного принтера оригинальный HP 312A, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030106,"Картридж для лазерного принтера оригинальный  Brother Brother TN-1095, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030024,"Чип тонер-картриджа  совместим. для лазерных принтеров Samsung SL-M2620 MLT-D115L, черный (black), 3000стр A4, Булат",,,6,0,107.15,113.03,"Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.Чип для принтеров Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880",Чип тонер-картриджа,совместимый,,,,,,3000,Булат,,,,,,,"Samsung SL-M2620, SL-M2670, SL-M2820, SL-M2830, SL-M2870, SL-M2880","2, грамм",Гарантия на данный товар не предоставляется,Булат,MLT-D115L,Samsung SL-M2620 MLT-D115L,черный (black),Чипы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000015503,"Фотобарабан  совместим. для лазерных принтеров HP LJ 2500, Static Control",,,2,0,293.01,347.68,"Фотобарабан для лазерных принтеров HP CLJ 2500, 2550 и картриджей C9702A, C9703A, C9701A, C9700A. Фотобарабан состоит из металлического цилиндра, на который нанесен фотослой. Фотобарабаны различаются размерами и формой шестерен, обеспечивающих его вращение. На фотобарабане лазер принтера засвечивает области, на которые магнитному валу необходимо нанести тонер. Срок службы фотобарабана зависит от используемых тонера и бумаги.",,,,,,,,,,,,,,,,,,,,,,,,"C9702A, C9703A, C9701A, C9700A","HP CLJ 2500, 2550",,Static Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000016141,"Чип для Xerox Phaser 3250 и картриджей 106R01373, черный, регион универ, Noname",,,0,0,32.48,31.52,"Чип для лазерных принтеров Xerox Phaser 3250 и картриджей 106R01373. Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.",,,,,,,,,,,,,,,,,,,,,,,,"106R01373, 106R01374",Xerox Phaser 3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000013576,"Чип тонер-картриджа  совместим. для лазерных принтеров Samsung SCX-D4200A, черный (black), 3000стр A4, Китай",,,52,0,50.0,50.01,"Чип для лазерных принтеров Samsung SCX-4200 и картриджей SCX-D4200A. Чип для лазерного картриджа — микросхема памяти, на которой записаны характеристики картриджа. Количество израсходованного тонера, подсчитанное чипом, лишь приблизительно и на момент когда, согласно подсчету, тонер израсходован и печать блокируется, картридж содержит еще около 30% тонера. Таким образом, замена чипа позволяет значительно сэкономить на расходных материалах лазерного принтера.",,,,,,,,,,,,,,,,,,,,,,,,SCX-D4200A,Samsung SCX-4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030605,"Картридж для лазерного принтера оригинальный  Kyocera TK-8600K, черный (black)",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000011094,"Картридж ""все-в-одном"" HP CLJ M3530/ CP3525 Cyan 7000 стр. (o) (CE251A)",,,0,0,8433.64,7847.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000017602,"Вал заряда  совместим. для лазерных принтеров HP LaserJet P1005, P1006, P1505, Китай",,,0,0,65.55,71.12,"Вал заряда для лазерных принтеров HP LaserJet P1005, P1006, P1505, M1120, M1522 и картриджей CB435. Вал первичного заряда представляет собой металлическую ось, заключенную в резиновую оболочку. PCR имеют разное строение резинового слоя. Основная задача этой детали зарядка фотобарабана однородным отрицательным зарядом. В некоторых картриджах PCR выполняет функцию своеобразного дворника - очищает фотобарабан от остатков тонера и бумажной пыли. PCR также стирает остаточный заряд, который остался на фотобарабане от предыдущей зарядки. Вал первичного заряда подвержен сильному загрязнению бумажной пылью, поэтому требует регулярной и тщательной чистки.",,,,,,,,,,,,,,,,,,,,,,,,,,,noname,,,,,"CB435A, CB436A","HP LaserJet P1005, P1006, P1505, M1120, M1522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000029021,"Картридж Q6461A, cyan (голубой), заменяет ориг. картридж HP Q6461A для лазерного принтера HP Color LaserJet 4730, 12000 стр., производ.",,,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000011518,"Картридж HR FX10 Universal для лазерных принтеров HP LaserJet 1010, 1020, 3015, 2030, 3030, M1319F, Canon FAX L75, L95, 100, 120, 140, 160, i Sensys MF 4018, 4100, 4270, 4320d, 4680, Satera 6570, заменяет ориг. картриджи FX9/FX10, Q2612A, Булат (HR)",,,0,0,539.12,585.27,Совместимый картридж для лазерных принтеров HP и Canon,,,,,,,,,,,,,,,,,,,,,,,,,,,Булат (HR) http://bulatgroup.ru/,,,черный,"HP LaserJet 1010, 1012, 1015, 1018, 1020, 1020PLUS, 1022, 1022N, 1022NW, 3015, 2030, 3030, 3050, 3050Z, 3052, 3055, LaserJet M1005, M1319FCanon FAX-L75, L95, 100, 120, 140, 160, i-Sensys MF 4018, 4100, 4110, 4120, 4122, 4140, 4150, 4270, 4320d, 4330d, 4340d, 4350d, 4370dn, 4380dn, 4680, 4690, Satera 6570",,,,,,2000 страниц,"FX9/FX10, Q2612A",,,,,,,,,,,,,,,,,,,,,,,,,,
400000005168,"Картридж Q2612A Black (черный) для лазерных принтеров лазерного принтера HP LJ 1010/3015,  произв. JetPrint",,,0,0,931.04,1144.0,,,,,,,,,,,,,,,,,,"0, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
