printer_id,name,cartridges,parts,availability,in_transit,wholesale_price,retail_price,description,char_Тип товара,char_Наименование производителя,char_Бренд,char_Происхождение товара,char_Модель запчасти,"char_Ресурс, стр A4",char_Цветность,char_Номер запчасти (Part number),char_Альтернативные артикулы,char_Используется в принтерах,char_Принтеры для наименования,char_Ключевые слова,char_Группа товара,char_Подгруппа товара,char_Вес в упаковке,char_Гарантия,char_Поставщик,char_Для использования с картриджами,char_Категория товара,char_Совместимые картриджи,"char_Для использования с принтерами/МФУ, совместимость",char_Особенности,char_Производитель,char_Название модели,char_Артикул,char_Артикул Восточноевропейский,char_Артикул Азиатский,char_Цвет тонера,char_Назначение,"char_Вес тонера в картридже, г","char_Вес тонера с девелопером в картридже, г",char_Страна-производитель,char_Наличие чипа,char_Модель заправляемых оригинальных картриджей,char_Сайт производителя,char_Регион использования,char_Наименование картриджа,char_Цвет,char_Модель заменяемых оригинальных картриджей,"char_Для использования с принтерами, совместимость",char_Ресурс,char_Масса тонера,char_Совместимый картридж,char_Для использования с принтерами/МФУ,"char_Ресурс, стр","char_Вес тонер, г",char_Тип,char_Совместимые принтеры,char_Заводской номер запчасти,char_Для использования с принтерами,"char_Ресурс отпечатков, л",char_Совместимость,"char_Масса тонера, г","char_Количество отпечатков, стр",char_Количество страниц,char_Тип запчасти
400000032260,"Печка (Fusing Unit) оригинал. для Konica Minolta C558/C658, A79JR71099",,,2,0,63900.0,63900.0,,Печка,Fusing Unit,Konica Minolta,оригинальный,не предусмотрено,1200000,не предусмотрено,A79JR71099,"A79JR71066, A79JR71088, A79JR71099","Konica Minolta Bizhub C558, C658; 558, 558e, 658e",C558/C658,"Konica Minolta Bizhub C558, C658; 558, 558e, 658e",Закрепление изображения,Печка,"5400, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030612,"Чип тонер-картриджа  совместим. для лазерных принтеров Canon iSENSYS MF724, 718, черный (black), 3400стр A4, Булат",,,3,0,55.23,58.26,"Чип для принтеров Canon LBP7200cdn, Canon LBP7210cdn, Canon LBP7310, Canon LBP7660cdn, Canon LBP7680cx, Canon MF724cdw, Canon MF728cdw, Canon MF8330cdn, Canon MF8340cdn, Canon MF8350cdn, Canon MF8360cdn, Canon MF8380cdw, Canon MF8540cdn, Canon MF8550cdn, Canon MF8580cdw",Чип тонер-картриджа,,Булат,совместимый,"Canon iSENSYS MF724, 718",3400,черный (black),,,,,"Canon LBP7200cdn, Canon LBP7210cdn, Canon LBP7310, Canon LBP7660cdn, Canon LBP7680cx, Canon MF724cdw, Canon MF728cdw, Canon MF8330cdn, Canon MF8340cdn, Canon MF8350cdn, Canon MF8360cdn, Canon MF8380cdw, Canon MF8540cdn, Canon MF8550cdn, Canon MF8580cdw",,,"5, грамм",Гарантия на данный товар не предоставляется,Булат,С-718K,Чипы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030648,"Вал магнитный (в сборе)  совместим. для лазерных принтеров Kyocera FS2100, FS4100, P3050, P3055, P3260, Китай",,,6,0,3300.0,3588.96,"Вал магнитный (в сборе) для принтеров Kyocera Ecosys M3040dn, M3040idn, M3040, M3145dn, M3145idn, M3540dn, M3540idn, M3540, M3550idn, M3550, M3560idn, M3560, M3645dn, M3645, M3655idn, P3045dn, P3050dn, P3055dn, P3060dn, P3145dn, P3145, P3150, P3150dn, P3155, P3155dn, P3260dn, Fs-2100D, Fs-2100DN, Fs-4100DN, Fs-4200DN, Fs-4300DN",Вал магнитный (в сборе),,Китай,совместимый,"Kyocera FS2100, FS4100, P3050, P3055, P3260",нет данных,не предусмотрено,,,,,"Kyocera Ecosys M3040dn, M3040idn, M3040, M3145dn, M3145idn, M3540dn, M3540idn, M3540, M3550idn, M3550, M3560idn, M3560, M3645dn, M3645, M3655idn, P3045dn, P3050dn, P3055dn, P3060dn, P3145dn, P3145, P3150, P3150dn, P3155, P3155dn, P3260dn, Fs-2100D, Fs-2100DN, Fs-4100DN, Fs-4200DN, Fs-4300DN",,,"278, грамм",Гарантия на данный товар не предоставляется,RST,"TK-1200, TK-3100, TK-3110, TK-3160, TK-3170",Валы магнитные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000007891,"Фотобарабан  совместим. для лазерных принтеров Samsung ML-6000, Alpha",,,8,0,165.6,233.11,"Фотобарабан для лазерных принтеров Samsung ML66G, 66H, 68H, 5300A, 5000A, 5050G, 5000G, 5080C, C800, 6000, SF-5800, SF-6800 и картриджей LBP 5300. Фотобарабан состоит из металлического цилиндра, на который нанесен фотослой. Фотобарабаны различаются размерами и формой шестерен, обеспечивающих его вращение. На фотобарабане лазер принтера засвечивает области, на которые магнитному валу необходимо нанести тонер. Срок службы фотобарабана зависит от используемых тонера и бумаги.",,,,,,,,,,,,,,,,,,,,LBP 5300,"Samsung ML66G, 66H, 68H, 5300A, 5000A, 5050G, 5000G, 5080C, C800, 6000, SF-5800, SF-6800",,Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000032969,"Картридж оригинал. Xerox 006R01381/CT202103, для цветных лазерных принтеров DC700/C75, пурпурный (magenta), 21000стр A4",,,1,0,7190.0,7189.99,"Xerox Digital Color Press 700, 700i, 770; Color С75, J75",Картридж,,Xerox,оригинальный,,21000,,,"006R01377, CT201207, CT201245, CT201274","Xerox Digital Color Press 700, 700i, 770; Color С75, J75",DC700/C75,Xerox DocuColor 700 700i 770 DC700 DC700i DC770 DC 700 DC 700i DC 770 С75 J75 С 75 J 75 доку колор калор калэр диджитал дижитал дигитал пресс прес ксерокс картридж тонер порошок туба краска replenisher,,,"1231, грамм",10 месяцев,,,,,,,,не предусмотрено,006R01385,006R01381,CT202103,пурпурный (magenta),для цветных лазерных принтеров,638,737,США,,,,,,,,,,,,,,,,,,,,,,,,
400000030895,"Ролик захвата бумаги (Paper Feed/Separation Roller) совместим. для Konica Minolta C287/C652, A00J563600",,,93,0,190.0,189.99,"Konica Minolta bizhub 224e, 284e, 364e, 223, 283, 363, 423, 552, 652, 454e, 554e, C203, C253, C353, C220, C280, C360, C287, C227, C552, C652, C652DS, C353P, C451, C452, C650, C022eDN, C028eDN, C036eDN, C224e, C284e, C364e, C7822e, C7828e, C454e, C554e, C258, C308, C368, magicolor 8650, magicolor 8650DN",Ролик захвата бумаги,Paper Feed/Separation Roller,Konica Minolta,совместимый,не предусмотрено,нет данных,не предусмотрено,A00J563600,C224/C554,"Konica Minolta Bizhub 224e, 284e, 364e, 223, 283, 363, 423, 552, 652, 454e, 554e, C203, C253, C353, C220, C280, C360, C287, C227, C552, C652, C652DS, C353P, C451, C452, C650, C022eDN, C028eDN, C036eDN, C224e, C284e, C364e, C7822e, C7828e, C454e, C554e, C258, C308, C368, magicolor 8650, magicolor 8650DN",C287/C652,"Konica Minolta Bizhub 224e, 284e, 364e, 223, 283, 363, 423, 552, 652, 454e, 554e, C203, C253, C353, C220, C280, C360, C287, C227, C552, C652, C652DS, C353P, C451, C452, C650, C022eDN, C028eDN, C036eDN, C224e, C284e, C364e, C7822e, C7828e, C454e, C554e, C258, C308, C368, magicolor 8650, magicolor 8650DN",Подача и вывод материала,Ролики подачи и захвата,"12, грамм",Гарантия на данный товар не предоставляется,NK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031871,"Ролик захвата бумаги (Paper Feed Oscillate Roller) оригинал. для Konica Minolta C1060/C7100, A1DUR71J00",,,20,0,1590.0,1589.99,"AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc;AccurioPrint C2060L, C3070L, C4065, C4065P;bizhub 600, 601, 750;bizhub PRESS C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71hc, C8000;bizhub PRO C1060L, C5500, C5501, C6000L, C6500, C6501, C65hc;",Ролик захвата бумаги,Paper Feed Oscillate Roller,Konica Minolta,оригинальный,не предусмотрено,1600000,не предусмотрено,A1DUR71J00,"56AAR72100, 56AA4580, 55FA4110, 4024205601, 4026101101","Konica Minolta AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc; AccurioPrint C2060L, C3070L, C4065, C4065P; bizhub 600, 601, 750; bizhub PRESS C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71hc, C8000; bizhub PRO C1060L, C5500, C5501, C6000L, C6500, C6501, C65hc;",C1060/C7100,"Захватывающий ролик Резиновый ролик Ремкомплект роликов подач Ролик байпасс Ролик для захвата бумаги Ролик для кассеты Ролик для лотка Ролик для лотка подачи Ролик для МФУ Ролик для подачи Ролик для подачи бумаги Ролик для подачи документов Ролик для подачи листов Ролик для принтера Ролик для ручной подачи Ролик для транспортировки бумаги Ролик захвата Ролик захвата бумаги Ролик лотка Ролик отделения (Retard Roll) Ролик подачи Ролик подачи (Feed Roll) Ролик подачи бумаги Ролик подачи в сборе Ролик подачи листов Ролик подачи ручного лотка Ролик подхвата Ролик bypass Bypass roll Document Feed Roller Feed Roll Feed Roller Paper Feed Roller Paper Transport Roller Pick-up Roller Roller Repair Tray Feed Roller Konica Minolta AccurioPress AccurioPrint bizhub Акку Аку Акурио Акуриопресс Аккуриопресс Акуриопрес Аккуриопрес Акурио пресс Аккурио пресс Акурио прес Аккурио прес Акку Аку Акурио Акуриопринт Аккуриопринт Акурио принт Аккурио принт бицхаб бизхаб Коника Conika Konika Минолта  Минольта Пресс Прес Про   600, 601, 750; bizhub PRESS bizhub PRO C2060 C2070 C2070P C3070 C3080 C3080P C4070 C4080 C7090 C7100 C2060L 3070L C4065 C1060 C6000 C7000 C7000P C70HC C1060L C5500 C5501 C6000L C6501 C 2060 C 2070 C 2070P C 3070 C 3080 C 3080P C 4070 C 4080 C 7090 C 7100 C 2060L 3070L C 4065 C 1060 C 6000 C 7000 C 7000P C 70HC C 1060L C 5500 C 5501 C 6000L C 6501 С2060 С2070 С2070Р С3070 С3080 С3080Р С4070 С4080 С7090 С7100 С2060L 3070L С4065 С1060 С6000 С7000 С7000Р С70HС С1060L С5500 С5501 С6000L С6501",Подача и вывод материала,Ролики подачи и захвата,"52, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000033182,"Палец отделения ремня переноса (Transfer belt separation claw) оригинал. для Konica Minolta C1060/C4080, A1DUR71900",,,6,0,1890.0,1890.0,"Konica Minolta AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc;AccurioPrint C2060L, C3070L, C4065, C4065P;bizhub Press C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71hc;bizhub PRO C1060L, C6000L",Палец отделения ремня переноса,Transfer belt separation claw,Konica Minolta,оригинальный,не предусмотрено,880000,не предусмотрено,A1DUR71900,не предусмотрено,"Konica Minolta AccurioPress C2060, C2070, C2070P, C3070, C3070P, C3080, C3080P, C4070, C4080, C7090, C7100, C83hc; AccurioPrint C2060L, C3070L, C4065, C4065P; bizhub Press C1060, C1070, C1070P, C6000, C7000, C7000P, C70hc, C71hc; bizhub PRO C1060L, C6000L",C1060/C4080,Палец отделения Коготь отделения Коготь термоблока Коготь фьюзера Когти отделения термоблока Комплект когтей отделения Лапка отделения Лапка фьюзера Механизм отделения бумаги от термовала Отделитель термозакрепления Отделительные когти фьюзера Отделительные пальцы Fuser Unit Отделительный палец Отделяющая лапка Отделяющий коготь Палец отделения бумаги Палец отделения печки Палец отделения термоблока Палец отделения фьюзера Палец термозакрепления Палец узла термозакрепления Палец фиксации Пальцы отделения термозакрепляющего узла Пластина отделения Пластина отделения бумаги фьюзера Пластины антиадгезионного отделения Сепаратор Сепаратор в сборе Сепаратор нагревательного ролика Сепаратор термоблока Сепаратор узла фиксации Сепаратор фьюзера Сепарационная лапка Сепарационная пластина Термоотделительные пальцы Узел отделения Fuser Stripper Claws Fusing Claw Separator Claw для фьюзера Акуриопресс Аккуриопресс Акуриопрес Аккуриопрес Акурио пресс Аккурио пресс Акурио прес Аккурио прес Акуриопринт Аккуриопринт Акурио принт Аккурио принт бицхаб бизхаб Пресс Прес Про C 2060 C 2070 C 2070P C 3070 C 3070P C 3080 C 3080P C 4070 C 4080 C 7090 C 7100 C 83hc C 2060L C 3070L C 4065 C 4065P C 1060 C 1070 C 1070P C 6000 C 7000 C 7000P C 70hc C 71hc C 1060L C 6000L С2060 С2070 С2070Р С3070 С3070Р С3080 С3080Р С4070 С4080 С7090 С7100 С83hc С2060L С3070L С4065 С4065Р С1060 С1070 С1070Р С6000 С7000 С7000Р С70hc С71hc С1060L С6000L,Перенос изображения,Пальцы и пластины отделения,"27, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000030971,"Коротрон заряда (Charge Corona Unit) оригинал. для Konica Minolta C1085/C1100, A5AWR70M11",,,17,0,6390.0,6390.0,"Konica Minolta Bizhub Press C1085, C1100",Коротрон заряда,Charge Corona Unit,Konica Minolta,оригинальный,не предусмотрено,175000,не предусмотрено,A5AWR70M11,A5AWR70M00,"Konica Minolta Bizhub Press C1085, C1100",C1085/C1100,Блок заряда Блок коронного разряда Блок короны заряда Блок коротрона Зарядная корона Зарядная нить Зарядное устройство Зарядный коротрон Коратрон Корона заряда Коронарная проволока Коронарная решетка Коронарный блок Коронарный провод Коронарный узел Коронарный электрод Коронатор Коронатор заряда Коронный провод Коронный разряд Коротон Коротрон Коротрон главного заряда Коротрон заряда Коротрон зарядки Кортрон Нить коротрона Проволока заряда Сетка коротрона Узел заряда Узел коронного заряда Узел коротрона Экранированный коротрон (скоротрон) Charge Corona Unit Charge Corotron Charge Corotron Cartridge Charging Corona Charging Pole Unit Corona Wire Kоnica Коника Conika Konika Minolta Минолта Минольта Бизхаб Бицхаб C1085 C1100 C1085 C1100,Формирование изображения,"Коротроны, валы заряда","188, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000031429,"Чистящее лезвие ленты переноса (Transfer Belt Cleaning Blade) оригинал. для Konica Minolta C1085/C6100, A1RFR7F133",,,2,0,4390.0,4389.99,"Konica Minolta Bizhub Press C1085, C1100, C8000;AccurioPress C6085, C6100, C12000",Чистящее лезвие ленты переноса,Transfer Belt Cleaning Blade,Konica Minolta,оригинальный,не предусмотрено,нет данных,не предусмотрено,A1RFR7F133,"A1RFR7F122, A1RFR7F111, A1RFR7F100, A5AWR70P00, A5AWR70P11, A5AWR70P22","Konica Minolta Bizhub Press C1085, C1100, C8000; AccurioPress C6085, C6100, C12000",C1085/C6100,Блейд IBT Деталь для очистки Лезвие для очистки ремня Лезвие для принтера Лезвие для трансферной ленты Лезвие для чистки ремня переноса Лезвие очистки Лезвие очистки переносного ремня Лезвие очистки промежуточного ремня Лезвие очистки транспортного ремня Лезвие очистки IBT-ленты Лезвие переноса Лезвие чистки Нож очистки промежуточного транспортного ремня Очиститель ленты Ракель Ракель ленты переноса Ракель IBT-ленты Скребок Чистящая пластина Чистящее лезвие IBT Чистящий нож Чистящий нож для ленты переноса Чистящий ракель IBT-ленты Чистящий элемент IBT чистящее лезвие IBT Belt Cleaner Blade  2nd Transfer Cleaning Blade Konica Minolta Bizhub Press Коника Conika Konika Минолта Минольта бицхаб бизхаб Пресс Прес Акку Аку Акурио Акуриопресс Аккуриопресс Акуриопрес Аккуриопрес Акурио пресс Аккурио пресс Акурио прес Аккурио прес C 1085 C 1100 C 8000 C 6085 C 6100 C 12000 С1085 С1100 С8000 С6085 С6100 С12000,Перенос изображения,Лезвия подбора,"210, грамм",Гарантия на данный товар не предоставляется,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
