printer_id,printer_name,cartridges,parts
400000026262,Kyocera Ecosys M3040dn,"[""400000013493"", ""400000021984"", ""400000021985""]","[""400000030648"", ""400000030881"", ""400000033101"", ""400000024174"", ""400000030647"", ""400000030650"", ""400000024153"", ""400000030649"", ""400000024601"", ""400000033383""]"
400000027216,Canon PC 880,"[""400000027202"", ""400000030159"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000028953,Brother HL-1210,"[""400000030198"", ""400000028961""]","[""400000025926""]"
400000031314,Panasonic KX MB1507,"[""400000024842""]",[]
400000029772,Brother MFC-L2740DWR,"[""400000023506"", ""400000030323"", ""400000030269"", ""400000029773""]",[]
400000026668,Xerox Phaser 3121,"[""400000012655"", ""200000000420"", ""400000026664""]","[""400000022273"", ""400000027146""]"
400000027267,Brother HL-2142R,"[""400000017384"", ""400000030307"", ""400000018695""]","[""400000023678""]"
400000028094,Brother MFC-7420R,"[""400000024237"", ""400000030303""]","[""400000030642"", ""400000023678""]"
400000026170,Kyocera Mita FS-1800,"[""400000026173"", ""400000030423""]",[]
400000029540,Kyocera FS-C2526,"[""400000022456"", ""400000024440"", ""400000022457"", ""400000029787"", ""400000021218""]","[""400000021249"", ""400000021251"", ""400000021250"", ""400000021248""]"
400000032367,Konica Minolta AccurioPrint 2100,"[""400000032353"", ""400000029625""]","[""400000031867"", ""400000030894"", ""400000031932"", ""400000033724"", ""400000032908"", ""400000033700"", ""400000031824""]"
400000028955,Brother DCP-1510,"[""400000030198"", ""400000028961""]","[""400000030641"", ""400000025926""]"
400000027246,Kyocera FS-C5350DN,"[""400000022692"", ""400000022693"", ""400000022694"", ""400000020452"", ""400000030588""]","[""400000024174"", ""400000024601"", ""400000024602""]"
400000028884,Canon i-SENSYS LBP251dw,"[""400000030202"", ""400000026131"", ""400000015221""]","[""400000015958"", ""400000026157"", ""400000002831"", ""400000021214"", ""400000013502""]"
400000024404,Kyocera Ecosys P4040dn,"[""400000030263"", ""400000026326""]","[""400000024174"", ""400000024602"", ""400000024601"", ""400000030660"", ""400000030659"", ""400000030658""]"
400000028802,Canon i-SENSYS MF217w,"[""400000028813"", ""400000030324""]","[""400000017602"", ""400000030314"", ""400000030017"", ""400000009850""]"
400000028867,Samsung ML-2163,"[""400000030446"", ""400000014788""]","[""400000016877""]"
400000026907,Samsung SCX-5737,"[""400000020350"", ""400000030457"", ""400000030456""]",[]
400000027934,HP Color LaserJet CP1215,"[""400000016596"", ""400000016957"", ""400000030579"", ""400000016081"", ""400000015968"", ""400000016080""]","[""400000015427"", ""400000016907"", ""400000029033"", ""400000016908"", ""400000026157"", ""400000011107"", ""400000022933""]"
400000032360,Xerox PrimeLink C9070,"[""400000031935"", ""400000031439"", ""400000031444"", ""400000031440"", ""400000030953"", ""400000032351"", ""400000031441"", ""400000032348"", ""400000030954"", ""400000032346"", ""400000031442"", ""400000032345"", ""400000030955"", ""400000030956"", ""400000032347"", ""400000032975"", ""400000032974"", ""400000032352"", ""400000032349"", ""400000031437"", ""400000031443"", ""400000031572"", ""400000031571"", ""400000031570"", ""400000031569"", ""400000032350"", ""400000031438"", ""400000032977"", ""400000032976""]","[""400000031949"", ""400000032577"", ""400000031840"", ""400000033573"", ""400000031980"", ""400000032557"", ""400000032875"", ""400000031844"", ""400000033704"", ""400000032107"", ""400000031841"", ""400000031950"", ""400000031948"", ""400000032516"", ""400000031839"", ""400000031983"", ""400000031836"", ""400000032104"", ""400000032873"", ""400000032151"", ""400000032576"", ""400000032874"", ""400000031843"", ""400000031837"", ""400000032150"", ""400000032872"", ""400000032581"", ""400000032109"", ""400000031981"", ""400000031982"", ""400000031971"", ""400000031951"", ""400000031838"", ""400000032121"", ""400000031842"", ""400000032108"", ""400000032149""]"
400000033662,Xerox Versalink С7030,[],"[""400000033573""]"
400000033131,Xerox WorkCentre 7970i,"[""400000032575"", ""400000032555"", ""400000031939"", ""400000031937"", ""400000031938"", ""400000031936""]","[""400000031851"", ""400000032574"", ""400000033247"", ""400000031850"", ""400000031853"", ""400000033246"", ""400000033245"", ""400000031852""]"
400000033529,Konica Minolta bizhub C551i,[],[]
400000028805,Canon i-SENSYS MF232w,"[""400000028813"", ""400000030324""]","[""400000017602"", ""400000030314"", ""400000030017"", ""400000009850""]"
400000030120,Brother HL-5370DW,"[""400000030318"", ""400000030321"", ""400000030319"", ""400000030322"", ""400000030320"", ""400000030117""]",[]
400000028995,Canon PC 795,"[""400000027202"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000028931,Brother MFC-9750,"[""400000028905"", ""400000029972""]","[""400000023607""]"
400000030988,Ricoh FT3613,"[""400000005764""]",[]
400000031077,Konica Minolta bizhub C650,[],"[""400000030895"", ""400000031817"", ""400000030894"", ""400000033730"", ""400000031615"", ""400000031428""]"
400000033433,Konica Minolta bizhub 362,[],"[""400000030896""]"
400000032424,Xerox D136,"[""400000030965"", ""400000031596""]","[""400000033196"", ""400000031460"", ""400000033575"", ""400000033573""]"
400000028864,Xerox WorkCentre 3210N,"[""400000029753"", ""400000030474"", ""400000020147""]","[""400000030638"", ""400000021245""]"
400000033434,Konica Minolta bizhub 4752,[],[]
400000026794,Samsung SCX-6320F,"[""400000026793"", ""400000030531""]",[]
400000029777,Kyocera FS-C5150DN,"[""400000029778""]","[""400000021766""]"
400000033489,Konica Minolta bizhub 4402P,[],[]
400000033808,Xerox AltaLink C8130,"[""400000032445"", ""400000032443"", ""400000032444"", ""400000032446""]","[""400000033704"", ""400000032448"", ""400000032450"", ""400000032449"", ""400000032447""]"
400000027268,Brother HL-2150NR,"[""400000017384"", ""400000030307"", ""400000018695""]","[""400000023678""]"
400000028645,HP Color LaserJet Enterprise CM4540 MFP,"[""400000030582"", ""400000028648"", ""400000028646"", ""400000028649"", ""400000028647""]","[""400000016907"", ""400000029033"", ""400000016908"", ""400000026157"", ""400000022933""]"
400000028669,HP Color LaserJet 3000,"[""400000028667"", ""400000028666"", ""400000028665"", ""400000030576"", ""400000028668""]","[""400000002802"", ""400000022933""]"
