printer_id,cartridges,parts
400000029541,,"400000021249,400000021250"
400000031013,400000033051,"400000030887,400000030894,400000030907,400000031609,400000030897,400000031364,400000030886,400000031615"
400000029768,"400000030269,400000023506",
400000026731,,"400000025156,400000021215"
400000033782,"400000033696,400000033693,400000033695,400000033694",400000033697
400000029771,"400000030269,400000023506",
400000033658,,400000033573
400000024357,,400000030655
400000026986,400000012992,"400000021214,400000002831,400000022453"
400000026860,400000015226,"400000030638,400000027147,400000021245"
400000028890,,"400000009850,400000030017,400000014883,400000030165"
400000026530,400000018130,"400000033098,400000021214,400000015038,400000002831,400000021558"
400000028867,400000014788,400000016877
400000026446,"400000012992,400000030365","400000021214,400000002831,400000021698,400000033095"
400000026827,,"400000025156,400000030640,400000021215"
400000033159,"400000031668,400000032840,400000032842,400000030962,400000031873,400000032839,400000032841","400000032581,400000031846,400000033545,400000032565,400000032578,400000032940,400000031985,400000032868,400000032580,400000032566,400000033573,400000031847,400000031987,400000031986,400000033575,400000031984,400000032516,400000032579,400000032517,400000031848,400000032556,400000031849,400000032563"
400000026357,,400000030655
400000026239,400000026135,"400000024174,400000024602,400000024601"
400000026238,400000026135,"400000024174,400000024602,400000024601"
400000033618,400000033513,
400000029752,,400000030638
400000026273,,"400000030652,400000030648,400000030650,400000024602,400000024601,400000033383,400000024174"
400000026377,400000019407,
400000026207,,"400000019405,400000024601,400000023832"
400000032642,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000032562,400000033247,400000031851,400000031853"
400000033758,400000033642,400000032005
400000028967,400000028961,400000025926
400000033515,"400000032171,400000031502",
400000032374,"400000032292,400000031352,400000031351","400000033240,400000030973,400000031516,400000031346,400000033180,400000031422,400000033632,400000031420,400000032259,400000033703,400000031871,400000033722,400000031471,400000033182,400000033633,400000031518,400000032870,400000031931,400000033636,400000033721,400000033184,400000031929,400000031115,400000031470,400000033720,400000033713,400000031802,400000031515,400000033635,400000033181,400000033723,400000031435"
400000031045,,"400000030894,400000032570,400000030896,400000030895"
400000028669,,"400000022933,400000002802"
400000026278,,"400000030652,400000030648,400000024601,400000033383,400000024174"
400000026583,400000026587,
400000026593,400000020052,400000030165
400000033408,,400000030896
400000026668,400000012655,400000022273
400000026396,400000012992,"400000021214,400000002831,400000021698,400000033095"
400000028861,400000015226,"400000027147,400000021245"
400000028721,,"400000022933,400000002802"
400000032469,"400000031829,400000031827","400000032148,400000032684,400000032147"
400000026244,400000025325,"400000024174,400000024602,400000024601"
400000026240,400000025325,"400000024174,400000024602,400000024601"
400000028714,,"400000022933,400000002802"
400000032674,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000033704,400000032562,400000033247,400000031851,400000031853"
400000026552,400000023293,"400000021214,400000002831,400000030165,400000013502"
400000026807,400000022914,"400000033110,400000016877,400000030639"
400000015102,400000023293,"400000021214,400000002831,400000030165,400000013502"
400000026233,,"400000024174,400000024602,400000024601"
400000033398,,400000030896
400000026778,,400000014982
400000033757,400000033642,400000032005
400000028778,,"400000016908,400000026157,400000011107"
400000031011,,"400000030887,400000032260,400000030894,400000030907,400000032570,400000031613,400000031427,400000030896,400000030886,400000031615,400000021871"
400000026418,400000012250,"400000002831,400000033095"
400000033811,"400000032444,400000032443","400000032447,400000032449,400000033704,400000032448,400000032450"
400000028833,400000030062,"400000030635,400000025158"
400000027092,"400000014786,400000015579","400000009850,400000014883,400000030165,400000030021,400000012999"
400000026599,400000015579,"400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999,400000022453"
400000030616,400000006702,
400000026681,,"400000025156,400000030640,400000021215"
400000028800,,"400000030017,400000030314,400000009850"
400000026762,,"200000001644,400000022273"
400000026721,,"400000025156,400000021215"
400000026268,,"400000017716,400000030652,400000030648,400000030650,400000024601,400000033383,400000024174"
400000033449,,400000030896
400000032633,,"400000031922,400000032570,400000021871"
400000026338,,400000024601
400000027237,"400000033759,400000027209","400000029060,400000033102"
400000033662,,400000033573
400000033268,,400000033194
400000033153,,"400000031838,400000032581,400000032121,400000032516,400000033573,400000032577,400000032104"
400000026450,400000026217,"400000030345,400000026018"
400000026223,400000019122,400000024601
400000028352,,"400000033097,400000002831,400000011759,400000020431"
400000028860,400000015226,"400000030638,400000027147,400000021245"
400000026215,400000019401,400000023832
400000033264,,400000033194
400000026661,400000012655,"200000001644,400000022273"
400000026803,400000014788,"400000033110,400000021432,400000030639,400000016877,400000020379"
400000027040,,400000015038
400000026237,400000026135,"400000024601,400000024174,400000024602"
400000029462,200000001110,200000001644
400000026469,400000013499,"400000009229,400000002831,400000009931,400000021698,400000021558,400000033096,400000016407"
400000033753,400000033642,400000032005
400000032416,,"400000031868,400000031866,400000031615,400000032908"
400000033476,,400000030896
400000028970,400000024237,400000023678
400000029795,,400000024174
400000033402,,400000031923
400000028879,,"400000009229,400000021723"
400000026453,400000026217,400000026018
400000031071,,"400000030894,400000031364,400000030895,400000031817,400000031615"
400000028777,,"400000016908,400000026157,400000011107"
400000027246,"400000022692,400000022693,400000020452,400000022694","400000024174,400000024602,400000024601"
400000028893,,"400000009850,400000030017,400000014883,400000030165"
400000028965,400000028961,"400000030641,400000025926"
400000031022,"400000031472,400000030669,400000030667,400000033319,400000030666","400000032258,400000031513,400000030971,400000031429,400000031511,400000030970,400000031514,400000031365,400000030949,400000031434,400000031512,400000031615,400000033720"
400000027270,400000018695,400000023678
400000033653,,400000033573
400000033534,,400000030896
400000031007,,"400000032260,400000030907,400000032570,400000031613,400000031615,400000030894,400000031222,400000030896,400000030897,400000030886,400000021871,400000030947,400000031427,400000030887"
400000033174,,"400000032516,400000032581"
400000028884,,"400000021214,400000002831,400000013502,400000026157"
400000026531,400000018130,"400000033098,400000021214,400000015038,400000002831,400000021558"
400000026452,400000026217,400000026018
400000032422,"400000032292,400000031352,400000031351","400000033240,400000030973,400000033728,400000031516,400000031346,400000033180,400000033732,400000031422,400000033632,400000033702,400000032259,400000033703,400000031420,400000031615,400000031871,400000033722,400000031471,400000033182,400000033633,400000031518,400000032870,400000031931,400000033636,400000033721,400000033184,400000031929,400000031115,400000031470,400000033720,400000033713,400000031802,400000031515,400000033635,400000033181,400000033723"
400000033252,,"400000033194,400000033195"
400000032671,,"400000032570,400000030897,400000030894"
400000026582,400000026587,
400000033132,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000031850,400000033247,400000031851,400000031853"
400000027240,400000027209,400000029060
400000028892,,"400000009850,400000030017,400000014883,400000030165"
400000033158,"400000031668,400000032840,400000032842,400000030962,400000031873,400000032839,400000032841","400000032581,400000031846,400000033545,400000032565,400000032578,400000032940,400000031985,400000032868,400000032580,400000032566,400000033573,400000031847,400000031987,400000031986,400000033575,400000031984,400000032516,400000032579,400000032517,400000031848,400000032556,400000031849,400000032563"
400000029540,,"400000021249,400000021250"
400000026535,400000018130,"400000021214,400000002831,400000021698"
400000032655,"400000031355,400000031356",400000032258
400000027058,400000015579,"400000009850,400000014883,400000030165,400000021698,400000030021,400000012999,400000022453"
400000026899,,400000021215
400000033817,,"400000032686,400000032687"
400000026608,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000026157,400000030021,400000012999,400000022453"
400000033475,,400000030896
400000029513,,400000025306
400000033766,"400000033709,400000033710,400000033711,400000033712",400000033714
400000028723,"400000032753,400000032752,400000032755,400000032754,400000018144","400000015427,400000022933,400000030612"
400000032638,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000032562,400000033247,400000031851,400000031853"
400000033409,,400000030896
400000028810,,"400000030017,400000030314,400000009850"
400000032398,"400000030969,400000030967,400000030966,400000030968","400000032581,400000031846,400000032701,400000033545,400000032565,400000032578,400000032940,400000032868,400000032580,400000032566,400000033573,400000031847,400000033575,400000032516,400000032579,400000032517,400000031848,400000032556,400000031849,400000032703,400000032702,400000032563,400000032627"
400000026602,"400000013848,400000026130,400000015579","400000009850,400000030017,400000030314,400000014883,400000030165,400000030021,400000012999,400000022453"
400000032677,,"400000032686,400000032688,400000032687"
400000028348,,"400000033097,400000002831,400000011759,400000020431"
400000026263,,"400000030648,400000024153,400000030650,400000024601,400000024174"
400000027912,"400000016596,400000016081,400000016957,400000016080","400000016908,400000026157,400000022933,400000015427"
400000029024,,400000002803
400000026719,,"400000025156,400000030640,400000021215"
400000032656,"400000031355,400000031356","400000031429,400000032258,400000033720"
400000026676,400000012655,400000022273
400000033754,400000033642,400000032005
400000029027,,400000002803
400000026398,400000012992,"400000021214,400000002831,400000033095"
400000032664,,"400000032570,400000030897,400000031433,400000021871"
400000033273,,"400000033194,400000033195"
400000032644,"400000031936,400000031937,400000031939,400000031938","400000031852,400000033245,400000032574,400000033246,400000031850,400000032562,400000033247,400000031851,400000031853"
400000026788,400000023831,"400000012993,400000022363"
400000007108,,"400000024174,400000024601"
400000026724,,"400000025156,400000030640,400000021215"
400000029533,,"400000022370,400000022369,400000033246"
400000026347,,"400000030655,400000026704"
400000026672,"200000001110,400000012655","200000001644,400000022273"
400000032411,,"400000032108,400000031838,400000032581,400000032516,400000032121,400000033704,400000032151,400000033573,400000032577,400000032104"
