printer_id,printer_name
400000026262,Kyocera Ecosys M3040dn
400000027216,Canon PC 880
400000028953,Brother HL-1210
400000031314,Panasonic KX MB1507
400000029772,Brother MFC-L2740DWR
400000026668,Xerox Phaser 3121
400000027267,Brother HL-2142R
400000028094,Brother MFC-7420R
400000026170,Kyocera Mita FS-1800
400000029540,Kyocera FS-C2526
400000032367,Konica Minolta AccurioPrint 2100
400000028955,Brother DCP-1510
400000027246,Kyocera FS-C5350DN
400000028884,Canon i-SENSYS LBP251dw
400000024404,Kyocera Ecosys P4040dn
400000028802,Canon i-SENSYS MF217w
400000028867,Samsung ML-2163
400000026907,Samsung SCX-5737
400000027934,HP Color LaserJet CP1215
400000032360,Xerox PrimeLink C9070
400000033662,Xerox Versalink С7030
400000033131,Xerox WorkCentre 7970i
400000033529,Konica Minolta bizhub C551i
400000028805,Canon i-SENSYS MF232w
400000030120,Brother HL-5370DW
400000028995,Canon PC 795
400000028931,Brother MFC-9750
400000030988,Ricoh FT3613
400000031077,Konica Minolta bizhub C650
400000033433,Konica Minolta bizhub 362
400000032424,Xerox D136
400000028864,Xerox WorkCentre 3210N
400000033434,Konica Minolta bizhub 4752
400000026794,Samsung SCX-6320F
400000029777,Kyocera FS-C5150DN
400000033489,Konica Minolta bizhub 4402P
400000033808,Xerox AltaLink C8130
400000027268,Brother HL-2150NR
400000028645,HP Color LaserJet Enterprise CM4540 MFP
400000028669,HP Color LaserJet 3000
400000026480,Canon MF4140
400000030720,Konica Minolta bizhub C754
400000030997,Xerox Сolour J75 Press
400000026735,Samsung ML-1630
400000028849,Lexmark X215 MFP
400000028821,HP LaserJet Pro MFP M130fw
400000033499,Konica Minolta bizhub 130f
400000029737,Samsung SL-M3375FD
400000029478,Xerox WorkCentre 5022
400000028885,Canon i-SENSYS LBP252dw
400000029516,Kyocera FS-C8600dn
400000026896,Samsung SCX-5835FN
400000026557,HP LaserJet P3005
400000032657,Konica Minolta bizhub C550
400000026904,Samsung ML-3710
400000033527,Konica Minolta bizhub C4051i
400000033263,Canon imageRUNNER ADVANCE C7055
400000026946,Xerox Phaser 3600
400000028964,Brother MFC-1813
400000026377,Kyocera TASKalfa 520i
400000029802,Samsung SL-C410W
400000027903,Canon i-SENSYS MF8080Cw
400000028175,Canon I-SENSYS LBP215x
400000033531,Konica Minolta bizhub C751i
400000028463,Canon Fax-L390
400000028763,HP LaserJet Enterprise 500 Color M551xh
400000028888,HP LaserJet Pro M1130 MFP
400000026538,Canon i-SENSYS LBP3310
400000026423,HP LaserJet Enterprise M632h
400000032413,Xerox WorkCentre WC7765
400000032468,Canon ImagePress C750
400000026329,Kyocera KM-1635
400000033749,Pantum P3302DN
400000026551,Canon i-SENSYS LBP6650dn
400000032667,Konica Minolta Bizhub C3300i
400000028800,Canon i-SENSYS MF212w
400000028024,Xerox Phaser 6010
400000033811,Xerox AltaLink C8155
400000026877,Samsung SCX-4728FD
400000030977,Pantum M6600
400000015102,Canon I-SENSYS LBP6310DN
400000033485,Konica Minolta Bizhub 4051i
400000032423,Konica Minolta Bizhub PRESS C1070P
400000026834,Samsung ML-1910
400000031009,Konica Minolta bizhub 654
400000033502,Konica Minolta AccurioPrint 950i
400000032361,Xerox Color C60
400000033301,Xerox DocuPrint 1100
400000029002,Canon PC 981
400000029488,Konica Minolta bizhub C554
400000033479,Konica Minolta bizhub 4000i
400000026583,HP  LaserJet 9040dn
400000031017,Konica Minolta bizhub C554e
400000029767,Brother HL-L2340DWR
400000033447,Konica Minolta bizhub 601
400000026774,Xerox WorkCentre 3119
400000026395,HP LaserJet Enterprise M607dn
400000033813,Canon VarioPrint VP120
400000026953,Samsung ML-2168W
400000028978,Canon FC 220
400000029500,Canon iR 1020
400000026286,Kyocera Ecosys M3860idn
400000027181,Oki MC352dn
400000026468,HP LaserJet 3020
400000033669,Konica Minolta Bizhub C266
400000026226,Kyocera Ecosys M2530DN
400000028733,Canon i-SENSYS MF8540Cdn
400000033517,Konica Minolta bizhub C250P
400000026271,Kyocera M3540IDN
400000028712,Canon i-SENSYS MF8450
400000033525,Konica Minolta bizhub 190f
400000028069,Brother FAX-2920R
400000027266,Brother HL-2140R
400000028766,HP LaserJet Pro 500 Color MFP M570dn
400000027096,Canon i-SENSYS MF4750
400000028787,HP LaserJet Pro MFP M225dn
400000026471,HP LaserJet 3052
400000026229,Kyocera Ecosys M2035DN
400000033661,Xerox Versalink С7025
400000028896,Brother HL-1030
400000027122,Canon i-SENSYS MF6180dw
400000026382,Kyocera KM-3530
400000026863,Xerox Phaser 3160
400000026375,Kyocera TASKalfa 3511i
400000028912,Brother IntelliFax 4750
400000029006,HP Color LaserJet 2500
400000026345,Kyocera FS-6025MFP
400000028743,Canon i-SENSYS MF8280Cw
400000026898,Samsung SCX-5330N
400000029805,Samsung CLP-320
400000030158,HP LaserJet Pro M404dn
400000033655,Xerox Versalink B7035
400000033765,Ricoh Pro C7200X
400000033538,Konica Minolta C35
400000031016,Konica Minolta bizhub 808
400000029528,Xerox Phaser 7800
400000028982,Canon FC 336
400000029790,Kyocera KM-C2520
400000026957,Samsung ML-3712ND
400000028375,Canon i-SENSYS FAX-L160
400000028848,Samsung SF-560R
400000033526,Konica Minolta bizhub 240f
400000032634,Konica Minolta Bizhub 650i
400000033414,Konica Minolta bizhub 7718
400000033476,Konica Minolta bizhub 185
400000031007,Konica Minolta bizhub 558
400000028870,Samsung Xpress SL-M2021
400000026984,HP LaserJet 1000W
400000026220,Kyocera Ecosys FS-1060DN
400000033445,Konica Minolta bizhub 600
400000033450,Konica Minolta MagiColor 1690MF
400000028862,Samsung SCX-4610
400000033203,Konica Minolta bizhub C3120i
400000027686,Konica Minolta bizhub C353
400000033518,Konica Minolta  Develop ineo+ 754
400000026706,Samsung ML-1010
400000032430,Konica Minolta bizhub C287i
400000026402,HP LaserJet 3380mfp
400000026964,Xerox WorkCentre 390
400000026227,Kyocera Ecosys FS-1035MFP
400000026932,Samsung ProXpress SL-M3320
400000033406,Konica Minolta bizhub 161f
400000026416,Canon Fax-L380
400000033819,Konica Minolta bizhub PRO 8050
400000026915,Samsung ML-3561ND
400000033392,Konica Minolta 7030
400000032416,Konica Minolta Bizhub PRO 1200
400000026161,Kyocera KM-1500
400000026862,Xerox Phaser 3155
400000026719,Samsung SCX-4321
400000028460,Canon Fax-L300
400000026872,Xerox WorkCentre 3220N
400000033486,Konica Minolta Bizhub 4052
400000026365,Kyocera TASKAlfa 300i
400000026231,Kyocera P2235DN
400000032464,Canon ImagePress C600i
400000026795,Samsung SCX-6122FN
400000027215,Canon PC 860
400000026949,Xerox WC 4150
400000033268,Canon imageRUNNER ADVANCE C7260i
400000027801,Canon i-SENSYS MF8330Cdn
400000030989,Ricoh FT3813
400000028546,Canon i-SENSYS MF4330d
400000030979,Konica Minolta AccurioPress C6085
400000026337,Kyocera TASKAlfa 1801
400000028944,Brother DCP-7055
400000033330,Konica Minolta Bizhub 227
400000033540,Konica Minolta bizhub C252P
400000027245,Kyocera FS-C5300DN
400000032451,Konica Minolta Bizhub Pro C6500
400000028954,Brother HL-1212
400000026512,HP LaserJet 5100
400000033277,Canon imageRUNNER ADVANCE C7570i
400000032396,Konica Minolta bizhub PRESS C1060
400000032386,Konica Minolta Bizhub C308
400000027123,HP LaserJet Pro M104
400000026681,Samsung ML-2510
400000029729,Samsung SL-M3325ND
400000026942,Xerox WC 4250S
400000027874,HP LaserJet Pro 100 Color M175nw
400000027272,Brother DCP-7032R
400000032365,Konica Minolta bizhub C658
400000027307,HP LaserJet Pro MFP M428dw
400000033441,Konica Minolta bizhub 550i
400000013451,Kyocera FS-2100DN
400000026961,Xerox DocuPrint P8ex
400000033789,Ricoh Pro C5300S
400000033756,Pantum M7200FDN
400000026902,Xerox Phaser 3635MFP/S
400000026201,Kyocera FS-1128MFP
400000027762,Canon LBP5100
400000028924,Brother MFC-9600
400000028966,Brother MFC-1818
400000026448,HP LaserJet Pro M15a
400000033652,Xerox Phaser 5550DN
400000033435,Konica Minolta bizhub 500
400000033460,Konica Minolta bizhub 226
400000028828,HP LaserJet Pro M132fn
400000028777,HP Color LaserJet CM2320fxi
400000027804,HP Color LaserJet CP2025
400000026453,HP LaserJet Pro MFP M29w
400000029000,Canon PC 950
400000026500,Canon i-SENSYS MF4270
400000033659,Xerox Versalink С7000
400000029722,Samsung SL-M2675FN
400000032636,Xerox WorkCentre 7525
400000026905,Samsung SCX-4833
400000033536,Konica Bizhub C35P
400000027208,Canon FC 200
400000026203,Kyocera FS-1300D
400000028104,Brother DCP-7025R
400000026374,Kyocera TASKalfa 3510i
400000032378,Konica Minolta Bizhub C224
400000029506,Samsung ProXpress SL-M3870FD
400000032431,Konica Minolta Bizhub Press C8000
400000028827,HP LaserJet Pro M104w
400000029726,Samsung SL-M2875FD
400000031019,Konica Minolta bizhub C659
400000026921,Xerox Phaser 3330
400000033397,Konica Minolta Bizhub 361i
400000026603,HP LaserJet Pro P1102w
400000026255,Kyocera FS-3540MFP
400000028950,Brother HL-1111
400000026420,Canon LaserBase MF5630
400000026936,Samsung ProXpress SL-M4070FR
400000026750,Samsung ML-1667
400000033519,Konica Minolta Bizhub C3851
400000033426,Konica Minolta bizhub 7621
400000027273,Brother DCP-7040
400000026744,Samsung ML-1641
400000031030,Konica Minolta AccurioPress C2060
400000026399,HP LaserJet 3300
400000032385,Konica Minolta Bizhub 458
400000029007,HP Color LaserJet 2550
400000030102,Ricoh SP4510DN
400000028833,HP LaserJet Pro M203dn
400000026153,Kyocera Mita FS-1000
400000026549,HP LaserJet P2055
400000026732,Xerox Phaser 3125
400000026422,HP LaserJet Enterprise M631dn
400000032357,Konica Minolta Bizhub PRESS C71cf
400000026363,Kyocera KM-3060
400000026210,Kyocera FS-1320D
400000026233,Kyocera Ecosys M2635DN
400000028794,HP LaserJet Pro M201n
400000033492,Konica Minolta bizhub 4702P
400000033202,Konica Minolta bizhub C3100i
400000033515,HP LaserJet 137a
400000029054,Canon iR C3200
400000032639,Xerox WorkCentre 7545
400000026747,Samsung ML-2241
400000026600,HP LaserJet M1522nf MFP
400000026867,Samsung SCX-4824FN
400000026555,Canon i-SENSYS MF5980dn
400000026674,Samsung SCX-4216f
400000028031,Samsung CLX-2160
400000033453,Konica Minolta MagiColor 1680MF
400000026914,Samsung ML-3560N
400000029746,Xerox Phaser 3250D
400000028824,HP LaserJet Pro M203dw
400000026383,Kyocera KM-4030
400000033386,Konica Minolta 7220
400000028032,Samsung CLP-300
400000026586,HP LaserJet M9050 mfp
400000028769,HP Color LaserJet Enterprise CM4540f MFP
400000026267,Kyocera FS-4300dn
400000026530,HP LaserJet 3390
400000030119,Brother HL-5350DN
400000033454,Konica Minolta MagiColor 1600W
400000028850,Samsung ML-1650
400000032640,Xerox WorkCentre 7556
400000027247,Kyocera ECOSYS P6030c
400000026392,Canon LBP800
400000032669,Konica Minolta Bizhub C3350i
400000033482,Konica Minolta Bizhub 4020
400000026252,Kyocera FS-3040MFP
400000032680,Xerox DocuCentre SC2020
400000033390,Konica Minolta 7022
400000028727,Canon i-SENSYS MF8340Cdn
400000026256,Kyocera FS-3640MFP
400000032393,Konica Minolta AccurioPress C2070P
400000026230,Kyocera Ecosys M2535DN
400000026403,Canon LBP1210
400000026950,Samsung SCX-6545N
400000026720,Samsung SCX-4521
400000028829,HP LaserJet Pro M132fw
400000026478,Canon i-SENSYS MF4018
400000028921,Brother MFC-8700
400000026241,Kyocera FS-2000D
400000033284,Canon imageRUNNER ADVANCE DX C7770i
400000033481,Konica Minolta bizhub 4700P
400000027213,Canon PC 760
400000027239,Pantum M6550NW
400000033281,Canon imageRUNNER ADVANCE C9270 PRO
400000033436,Konica Minolta bizhub 420
400000033266,Canon imageRUNNER ADVANCE C7065i
400000029775,Kyocera FS-C5400DN
400000029721,Samsung SL-M2625
400000028992,HP Color LaserJet 4700dn
400000029804,Samsung SL-C460W
400000033458,Konica Minolta F+ imaging P40dn
400000026457,HP LaserJet 4000
400000028728,Canon i-SENSYS MF8580Cdw
400000028890,HP LaserJet Pro MFP M127fw
400000033282,Canon imageRUNNER ADVANCE C9280 PRO
400000032653,Konica Minolta Bizhub 4050i
400000026756,Samsung ML-1867
400000026657,Xerox Phaser 3210
400000030701,Konica Minolta Bizhub Press C7000
400000029739,Samsung SL-M3825ND
400000026285,Kyocera Ecosys P3260dn
400000028971,Canon FC 120
400000033276,Canon imageRUNNER ADVANCE C7580
400000033758,Pantum M7302FDW
400000026947,Samsung SCX-6345
400000028990,Canon PC 425
400000028468,Canon LBP465
400000029725,Samsung SL-M2835DW
400000033418,Konica Minolta bizhub 250
400000026659,Samsung ML-1510
400000028796,Canon i-SENSYS FAX-L150
400000033768,Ricoh Pro C7210X
400000033616,Pantum P3308DN
400000033205,Konica Minolta 7235
400000029797,Kyocera TASKalfa 2551ci
400000033533,Konica Minolta 7228
400000027058,HP LaserJet P1007
400000029552,Kyocera Ecosys P6021cdn
400000029055,Canon iR C4580
400000029752,Xerox WorkCentre 3220N
400000033821,Konica Minolta Bizhub PRO 920
400000028865,Samsung ML-2162
400000026454,HP LaserJet Pro M15w
400000033747,Pantum P3300DN
400000027263,Panasonic KX-MB2020
400000033446,Konica Minolta bizhub 750
400000026469,HP LaserJet 3030
400000028894,Canon i-SENSYS LBP6020B
400000026349,Kyocera FS-6530MFP
400000030991,Xerox D110
400000029794,Kyocera KM-C4035E
400000026542,HP LaserJet Enterprise flow MFP M830z
400000026604,HP LaserJet Pro M1132 MFP
400000026963,Xerox WorkCentre 385
400000026861,Xerox Phaser 3140
400000028765,HP LaserJet Enterprise 500 Color MFP M575dn
400000033556,Canon ImagePress C600
400000032662,Konica Minolta bizhub C353P
400000033449,Konica Minolta bizhub C3100P
400000027237,Pantum P2500W
400000029549,Xerox Phaser 7750
400000026214,Kyocera FS-1124MFP
400000026884,Ricoh SP 200N
400000026900,Xerox Phaser 3300MFP
400000026724,Xerox Phaser 3117
400000032368,Konica Minolta Bizhub Pro C6000L
400000029727,Samsung SL-M2875FW
400000026580,HP LaserJet P4014
400000033443,Konica Minolta bizhub C3851FS
400000026944,Samsung ML-4550
400000029742,Samsung SL-M4025ND
400000032404,Xerox Color C70
400000033615,Pantum P3308DW
400000032389,Konica Minolta Bizhub 368e
400000033764,Ricoh Pro C7200SX
400000026746,Samsung ML-2240
400000027280,Brother HL-2250DNR
400000027264,Panasonic KX-MB2030
400000029808,Samsung CLX-3185
400000029038,HP Color LaserJet Pro MFP M476dn
400000032461,Konica Minolta Bizhub PRO 1050
400000033668,Konica Minolta Bizhub C256
400000033763,Ricoh Pro C7200S
400000026801,Samsung ML-2160
400000026208,Kyocera Ecosys P2035d
400000027292,Brother DCP-7070DWR
400000026581,HP LaserJet P4015n
400000028466,Canon LBP3210
400000026806,Xerox WorkCentre 3025
400000032632,Konica Minolta Bizhub 450i
400000028946,Brother FAX-2940
400000033298,Xerox WorkCentre 4590
400000033687,Xerox WorkCentre 7825
400000026978,Xerox WorkCentre 5016
400000026479,Canon i-SENSYS MF4120
400000033520,Konica Minolta Bizhub C3351
400000033159,Xerox Versant 170i Press
400000028851,Samsung ML-3051N
400000030115,Brother HL-5270DN
400000033175,Xerox PrimeLink B9125
400000028927,Brother MFC-9660
400000031033,Konica Minolta bizhub 364e
400000033154,Xerox WorkCentre WC7675
400000033438,Konica Minolta bizhub 501
400000029538,Kyocera FS-C2026
400000028767,HP LaserJet Enterprise 500 Color MFP M575dw
400000033584,Konica Minolta PagePro 1350EN
400000026369,Kyocera KM-5050
400000033204,Konica Minolta AccurioPress C3070P
400000031070,Konica Minolta bizhub C552
400000033814,Canon VarioPrint VP115
400000026655,Samsung ML-1430
400000028682,HP Color LaserJet Pro MFP M177n
400000027198,Oki MC561dn
400000029515,Ricoh Aficio SP 150
400000032459,Konica Minolta AccurioPress 6136
400000028174,Canon i-SENSYS MF421dw
400000033495,Konica Minolta bizhub 225i
400000032642,Xerox WorkCentre 7845
400000026792,Samsung SCX-6220
400000029994,Xerox Phaser 3450D
400000033402,Konica Minolta AccurioPress 7136P
400000026200,Kyocera FS-920
400000032476,Canon ImagePress C8000VP
400000026473,HP LaserJet M1005 MFP
400000032420,Konica Minolta Bizhub Press 1250P
400000026243,Kyocera Ecosys M2735dn
400000029468,Samsung ML-1220
400000033125,Xerox WorkCentre 7425
400000026607,HP LaserJet Pro M1214nfh MFP
400000026721,Samsung SCX-4650N
400000029522,Kyocera FS-C5100
400000026986,HP LaserJet 1005W
400000027098,Canon i-SENSYS MF4780w
400000027105,Canon i-SENSYS MF4890dw
400000026334,Kyocera KM-2050
400000027871,Canon i-SENSYS LBP7018C
400000032672,Xerox AltaLink C8035
